TimeStamp,Temperature1,Humidity1,Dewpoint1,Temperature2,Humidity2,Dewpoint2,Temperature3,Humidity3,Dewpoint3,Temperature4,Humidity4,Dewpoint4,Temperature5,Humidity5,Dewpoint5,Temperature6,Humidity6,Dewpoint6,Temperature7,Humidity7,Dewpoint7,
18:40:38 12-05-2016,18.7,35.2,3.01,21.0,32.0,3.69,16.0,35.0,0.55,21.0,28.0,1.8,17.2,47.7,6.01,19.0,36.0,3.6,16.0,37.0,1.32,
18:50:39 12-05-2016,18.7,34.9,2.89,21.0,32.0,3.69,16.0,35.0,0.55,21.0,28.0,1.8,17.2,47.9,6.07,19.0,36.0,3.6,16.0,37.0,1.32,
19:00:40 12-05-2016,18.7,33.7,2.4,21.0,32.0,3.69,16.0,34.0,0.15,21.0,28.0,1.8,17.1,47.1,5.73,19.0,36.0,3.6,16.0,36.0,0.94,
19:10:41 12-05-2016,18.7,32.5,1.89,21.0,32.0,3.69,16.0,34.0,0.15,21.0,28.0,1.8,17.2,47.0,5.8,19.0,36.0,3.6,16.0,36.0,0.94,
19:20:41 12-05-2016,18.7,31.3,1.37,21.0,32.0,3.69,16.0,34.0,0.15,21.0,28.0,1.8,17.1,46.4,5.52,19.0,36.0,3.6,16.0,36.0,0.94,
19:30:42 12-05-2016,18.6,30.0,0.69,21.0,32.0,3.69,16.0,34.0,0.15,21.0,28.0,1.8,17.1,45.6,5.27,19.0,36.0,3.6,16.0,36.0,0.94,
19:40:44 12-05-2016,18.6,29.3,0.36,21.0,32.0,3.69,16.0,34.0,0.15,21.0,28.0,1.8,17.1,44.4,4.89,19.0,35.0,3.2,16.0,36.0,0.94,
19:50:45 12-05-2016,18.5,28.6,-0.06,21.0,32.0,3.69,16.0,34.0,0.15,20.0,28.0,0.94,17.1,44.1,4.79,19.0,36.0,3.6,16.0,37.0,1.32,
20:00:46 12-05-2016,18.2,33.4,1.84,21.0,32.0,3.69,16.0,34.0,0.15,21.0,28.0,1.8,17.1,43.6,4.62,19.0,35.0,3.2,16.0,37.0,1.32,
20:10:47 12-05-2016,18.1,35.4,2.56,21.0,32.0,3.69,16.0,34.0,0.15,23.0,38.0,7.93,17.0,43.2,4.4,19.0,35.0,3.2,16.0,37.0,1.32,
20:20:47 12-05-2016,18.1,35.0,2.4,21.0,32.0,3.69,16.0,34.0,0.15,21.0,28.0,1.8,17.0,43.9,4.63,19.0,35.0,3.2,16.0,37.0,1.32,
20:30:48 12-05-2016,18.0,34.8,2.24,21.0,32.0,3.69,16.0,34.0,0.15,22.0,27.0,2.15,17.0,42.7,4.24,19.0,35.0,3.2,16.0,37.0,1.32,
20:40:49 12-05-2016,18.0,34.6,2.15,21.0,32.0,3.69,16.0,34.0,0.15,22.0,27.0,2.15,17.0,42.2,4.07,19.0,35.0,3.2,16.0,37.0,1.32,
20:50:50 12-05-2016,17.9,34.4,1.99,21.0,32.0,3.69,15.0,34.0,-0.73,21.0,28.0,1.8,17.0,41.6,3.86,19.0,35.0,3.2,16.0,38.0,1.69,
21:00:51 12-05-2016,17.9,33.7,1.7,21.0,32.0,3.69,15.0,34.0,-0.73,21.0,28.0,1.8,17.0,42.0,4.0,19.0,35.0,3.2,16.0,38.0,1.69,
21:10:53 12-05-2016,17.9,34.0,1.82,21.0,32.0,3.69,15.0,34.0,-0.73,21.0,28.0,1.8,16.9,43.4,4.38,19.0,36.0,3.6,16.0,38.0,1.69,
21:20:58 12-05-2016,17.8,34.2,1.82,21.0,32.0,3.69,15.0,34.0,-0.73,01:17:10 13-05-2016,17.6,37.4,2.89,21.0,32.0,3.69,15.0,34.0,-0.73,
